Sub-model,Moderator,Platform,log-odds β,OR,SE,p,Sig,Supported
H4a,env_concern_comp_z,Study 2 (Prolific),-0.121,0.886,0.0728,0.0966,n.s.,✗
H4b,environment_worry_z,Study 1 (MTurk),-0.0241,0.976,0.0795,0.7618,n.s.,✗
H4b,environment_worry_z,Study 2 (Prolific),-0.1102,0.896,0.075,0.1416,n.s.,✗
H4c,environment_responsib_z,Study 1 (MTurk),-0.037,0.964,0.0748,0.6207,n.s.,✗
H4c,environment_responsib_z,Study 2 (Prolific),-0.052,0.949,0.0748,0.4868,n.s.,✗
H4d,environment_natural_p_z,Study 1 (MTurk),0.0897,1.094,0.07,0.1999,n.s.,✗
H4d,environment_natural_p_z,Study 2 (Prolific),-0.1302,0.878,0.0721,0.0711,n.s.,✗
